taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory	sinacCategory
2435296	Trichechus manatus Linnaeus, 1758	2435296	Trichechus manatus Linnaeus, 1758	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Sirenia	802	Trichechidae	9463	Trichechus	2435291	Trichechus manatus	2435296	VU	PE
4262847	Tayassu pecari spiradens Goldman, 1912	4262847	Tayassu pecari spiradens Goldman, 1912	1	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Artiodactyla	731	Tayassuidae	5303	Tayassu	2440992	Tayassu pecari	2440993		PE
6164564	Leopardus tigrinus oncilla (Thomas, 1903)	6164564	Leopardus tigrinus oncilla (Thomas, 1903)	2	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Felidae	9703	Leopardus	2434918	Leopardus tigrinus	2434930		PE
8687048	Herpailurus yagouaroundi panamensis (J.A.Allen, 1904)	6164641	Puma yagouaroundi panamensis (J.A.Allen, 1904)	1	SUBSPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Felidae	9703	Puma	2435098	Puma yagouaroundi	2435146		PE
2434983	Felis pardalis Linnaeus, 1758	2434982	Leopardus pardalis (Linnaeus, 1758)	1	SPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Felidae	9703	Leopardus	2434918	Leopardus pardalis	2434982	LC	PE
6164541	Felis wiedii nicaraguae (J.A.Allen, 1919)	6164540	Leopardus wiedii nicaraguae (J.A.Allen, 1919)	1	SUBSPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Felidae	9703	Leopardus	2434918	Leopardus wiedii	2434950		PE
2434982	Leopardus pardalis (Linnaeus, 1758)	2434982	Leopardus pardalis (Linnaeus, 1758)	55	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Felidae	9703	Leopardus	2434918	Leopardus pardalis	2434982	LC	PE
6163971	Lontra longicaudis annectens (Major, 1897)	6163971	Lontra longicaudis annectens (Major, 1897)	1	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Mustelidae	5307	Lontra	2433726	Lontra longicaudis	2433738		PE
7193927	Puma concolor concolor	7193927	Puma concolor concolor	1	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Felidae	9703	Puma	2435098	Puma concolor	2435099		PE
4265381	Glyphonycteris daviesi (Hill, 1964)	4265381	Glyphonycteris daviesi (Hill, 1964)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Chiroptera	734	Phyllostomidae	9366	Glyphonycteris	4265378	Glyphonycteris daviesi	4265381	LC	PE
