En peligro
==========

Mamíferos
---------
Chironectes minimus
Myrmecophaga tridactyla
Glyphonycteris daviesi
Glyphonycteris sylvestris
Leopardus pardalis
Trinycteris nicefori
Ateles geoffroyi
Saimiri oerstedii
Alouatta palliata
Reithrodontomys musseri
Lontra longicaudis
Rheomys raptor
Rheomys underwoodi
Leopardus wiedii
Leopardus tigrinus
Puma yagouaroundi
Puma concolor
Panthera onca
Trichechus manatus
Tapirus bairdii
Tayassu pecari

Aves
----
Harpia harpyja
Morphnus guianensis
Aramus guarauna
Agamia agami
Botaurus pinnatus
Ixobrychus exilis
Monasa morphoeus
Habia atrimaxillaris
Aegolius ridgwayi
Pheucticus tibialis
Jabiru mycteria
Carpodectes antoniae
Cephalopterus glabricollis
Cotinga ridgwayi
Procnias tricarunculatus
Chamaepetes unicolor
Emberizoides herbicola
Acanthidops bairdi
Cistothorus platensis
Chloroceryle inda
Pittasoma michleri
Xiphocolaptes promeropirhynchus
Melozone biarcuata
Oryzoborus nuttingi
Ibycter americanus
Chlorophonia callophrys
Icterus mesomelas
Rhynchortyx cinctus
Ara ambiguus
Ara macao
Amazona auropalliata
Micropygia schomburgkii
Semnornis frantzii
Bangsia arcaei
Heterospingus rubrifrons
Amazilia boucardi
Trogon clathratus
Myadestes melanops
Salpinctes obsoletus
Aphanotriccus capitalis
Dendrocygna viduata
Jacamerops aureus
Rallus longirostris
Geothlypis aequinoctialis

Reptiles
--------
Norops monteverde
Norops tenorioensis
Ctenosaura quinquecarinata
Sceloporus squamosus
Dermochelys coriacea
Chelonia mydas (aparece dos veces en la lista)
Eretmochelys imbricata
Phyllodactylus tuberculosus
Geophis talamancae
Trimetopon simile
Trimetopon viquezi
Caretta caretta

Anfibios
--------
Atelopus chiriquiensis
Atelopus chirripoensis
Atelopus senex
Atelopus varius
Incilius fastidiosus
Incilius holdridgei
Incilius periglenes
Agalychnis lemur
Craugastor andi
Craugastor angelicus
Craugastor catalinae
Craugastor escoces
Craugastor fleischmanni
Craugastor obesus
Craugastor ranoides
Craugastor rhyacobatrachus
Craugastor taurus
Phyllobates vittatus
Silverstoneia nubicola
Gastrotheca cornuta
Ecnomiohyla fimbrimembra
Hyloscirtus colymba
Isthmohyla angustilineata
Isthmohyla calypsa
Isthmohyla debilis
Isthmohyla pictipes
Isthmohyla rivularis
Isthmohyla tica
Ptychohyla legleri
Bolitoglossa alvaradoi
Bolitoglossa nigrescens
Bolitoglossa compacta
Bolitoglossa marmorea
Bolitoglossa minutula
Bolitoglossa tica
Bolitoglossa sooyorum
Nototriton major
Oedipina altura
Oedipina gracilis
Oedipina grandis
Oedipina paucidentata
Dermophis gracilior
Dermophis occidentalis
Dermophis parviceps

Plantas
-------
Cattleya dowiana
Oncidium kramerianum
Trichopilia suavis
Acineta chrysantha
Acineta erythroxantha
Arpophyllum giganteum
Coryanthes hunteriana
Coryanthes maculata
Coryanthes speciosa
Cycnoches egertonianum
Cycnoches tonduzii
Cycnoches ventricosum
Cyrtopodium punctatum
Phragmipedium caudatum
Peristeria elata
Rossioglossum schlieperianum
Teuscheria horichiana
Trichopilia tortilis
Epidendrum pseudepidendrum
Epidendrum pendens
