taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2430749	Craugastor taurus (Taylor, 1958)	2430749	Craugastor taurus (Taylor, 1958)	79	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Amphibia	131	Anura	952	Craugastoridae	6730	Craugastor	2426022	Craugastor taurus	2430749	EN
5216647	Atelopus varius varius	5216646	Atelopus varius (Lichtenstein & Martens, 1856)	4	SUBSPECIES	SYNONYM	Animalia	1	Chordata	44	Amphibia	131	Anura	952	Bufonidae	6727	Atelopus	2422265	Atelopus varius	5216646	CR
5216692	Atelopus chiriquiensis Shreve, 1936	5216692	Atelopus chiriquiensis Shreve, 1936	46	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Amphibia	131	Anura	952	Bufonidae	6727	Atelopus	2422265	Atelopus chiriquiensis	5216692	EX
2430838	Eleutherodactylus andi Savage, 1974	2430837	Craugastor andi (Savage, 1974)	35	SPECIES	SYNONYM	Animalia	1	Chordata	44	Amphibia	131	Anura	952	Craugastoridae	6730	Craugastor	2426022	Craugastor andi	2430837	CR
5216652	Atelopus varius loomisi Taylor, 1952	5216646	Atelopus varius (Lichtenstein & Martens, 1856)	3	SUBSPECIES	SYNONYM	Animalia	1	Chordata	44	Amphibia	131	Anura	952	Bufonidae	6727	Atelopus	2422265	Atelopus varius	5216646	CR
2431283	Bolitoglossa compacta Wake, Brame & Duellman, 1973	2431283	Bolitoglossa compacta Wake, Brame & Duellman, 1973	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Amphibia	131	Caudata	953	Plethodontidae	6748	Bolitoglossa	2431243	Bolitoglossa compacta	2431283	EN
5216672	Atelopus senex Taylor, 1952	5216672	Atelopus senex Taylor, 1952	160	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Amphibia	131	Anura	952	Bufonidae	6727	Atelopus	2422265	Atelopus senex	5216672	EX
11056611	Hyla legleri Taylor, 1958	2428632	Ptychohyla legleri (Taylor, 1958)	42	SPECIES	SYNONYM	Animalia	1	Chordata	44	Amphibia	131	Anura	952	Hylidae	6735	Ptychohyla	2428624	Ptychohyla legleri	2428632	EN
2428590	Phyllomedusa lemur Boulenger, 1882	10050363	Agalychnis lemur (Boulenger, 1882)	58	SPECIES	SYNONYM	Animalia	1	Chordata	44	Amphibia	131	Anura	952	Phyllomedusidae	4817115	Agalychnis	2428191	Agalychnis lemur	10050363	CR
2430721	Eleutherodactylus ranoides (Cope, 1886)	2430717	Craugastor ranoides (Cope, 1886)	25	SPECIES	SYNONYM	Animalia	1	Chordata	44	Amphibia	131	Anura	952	Craugastoridae	6730	Craugastor	2426022	Craugastor ranoides	2430717	CR
2428089	Isthmohyla angustilineata (Taylor, 1952)	2428089	Isthmohyla angustilineata (Taylor, 1952)	9	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Amphibia	131	Anura	952	Hylidae	6735	Isthmohyla	2428088	Isthmohyla angustilineata	2428089	CR
