taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2474400	Micropygia schomburgkii (Cabanis, 1848)	2474400	Micropygia schomburgkii (Cabanis, 1848)	205	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Gruiformes	1493	Rallidae	9342	Micropygia	2474399	Micropygia schomburgkii	2474400	LC
2480994	Ibycter americanus (Boddaert, 1783)	2480994	Ibycter americanus (Boddaert, 1783)	143	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Falconiformes	7191407	Falconidae	5240	Ibycter	2480993	Ibycter americanus	2480994	LC
2486495	Carpodectes antoniae Ridgway, 1884	2486495	Carpodectes antoniae Ridgway, 1884	1876	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Cotingidae	5236	Carpodectes	2486494	Carpodectes antoniae	2486495	EN
6170716	Ara macao macao	6170716	Ara macao macao	48	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Psittaciformes	1445	Psittacidae	9340	Ara	1686160	Ara macao	5959227	
2481953	Jabiru mycteria (Lichtenstein, 1819)	2481953	Jabiru mycteria (Lichtenstein, 1819)	4177	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Ciconiiformes	839	Ciconiidae	9289	Jabiru	2481952	Jabiru mycteria	2481953	LC
6088470	Pittasoma michleri zeledoni Ridgway, 1884	6088470	Pittasoma michleri zeledoni Ridgway, 1884	5	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Conopophagidae	9306	Pittasoma	2490571	Pittasoma michleri	2490573	
2480852	Ixobrychus exilis (Gmelin, 1789)	2480852	Ixobrychus exilis (Gmelin, 1789)	993	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Pelecaniformes	7190953	Ardeidae	3685	Ixobrychus	2480843	Ixobrychus exilis	2480852	LC
2475179	Monasa morphoeus (Hahn & Küster, 1823)	2475179	Monasa morphoeus (Hahn & Küster, 1823)	3182	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Piciformes	724	Bucconidae	5703	Monasa	2475177	Monasa morphoeus	2475179	LC
2492253	Oryzoborus nuttingi Ridgway, 1884	2492253	Oryzoborus nuttingi Ridgway, 1884	4	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Thraupidae	9352	Oryzoborus	2492239	Oryzoborus nuttingi	2492253	LC
6176767	Aramus guarauna dolosus J.L.Peters, 1925	6176767	Aramus guarauna dolosus J.L.Peters, 1925	6	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Gruiformes	1493	Aramidae	7514	Aramus	2474336	Aramus guarauna	2474337	
2474165	Rhynchortyx cinctus (Salvin, 1876)	2474165	Rhynchortyx cinctus (Salvin, 1876)	39	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Galliformes	723	Odontophoridae	9325	Rhynchortyx	2474164	Rhynchortyx cinctus	2474165	LC
2489649	Geothlypis aequinoctialis (J.F.Gmelin, 1789)	2489649	Geothlypis aequinoctialis (J.F.Gmelin, 1789)	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Parulidae	5263	Geothlypis	2489637	Geothlypis aequinoctialis	2489649	LC
5959233	Ara ambiguus (Bechstein, 1811)	5959233	Ara ambiguus (Bechstein, 1811)	484	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Psittaciformes	1445	Psittacidae	9340	Ara	1686160	Ara ambiguus	5959233	CR
5231483	Salpinctes obsoletus (Say, 1822)	5231483	Salpinctes obsoletus (Say, 1822)	3	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Troglodytidae	9355	Salpinctes	2493947	Salpinctes obsoletus	5231483	LC
