taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2817694	Teuscheria pickiana (Schltr.) Garay	2817694	Teuscheria pickiana (Schltr.) Garay	3	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Orchidaceae	7689	Teuscheria	2817691	Teuscheria pickiana	2817694	NE
5319612	Cyrtopodium punctatum (L.) Lindl.	5319612	Cyrtopodium punctatum (L.) Lindl.	3	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Orchidaceae	7689	Cyrtopodium	2830178	Cyrtopodium punctatum	5319612	NE
2848412	Masdevallia tonduzii Woolward	2848412	Masdevallia tonduzii Woolward	12	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Orchidaceae	7689	Masdevallia	2847989	Masdevallia tonduzii	2848412	NE
2783315	Cycnoches egertonianum Bateman	2783315	Cycnoches egertonianum Bateman	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Orchidaceae	7689	Cycnoches	2783299	Cycnoches egertonianum	2783315	NE
2848186	Reichantha reichenbachiana (Endrés ex Rchb.f.) Luer	2848184	Masdevallia reichenbachiana Endrés ex Rchb.f.	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Orchidaceae	7689	Masdevallia	2847989	Masdevallia reichenbachiana	2848184	NE
5325355	Eriopsis biloba Lindl.	5325355	Eriopsis biloba Lindl.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Orchidaceae	7689	Eriopsis	2851073	Eriopsis biloba	5325355	NE
2832590	Otoglossum chiriquense (Rchb.f.) Garay & Dunst.	2832590	Otoglossum chiriquense (Rchb.f.) Garay & Dunst.	12	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Orchidaceae	7689	Otoglossum	2832587	Otoglossum chiriquense	2832590	NE
2814339	Phragmipedium longifolium (Warsz. & Rchb.f.) Rolfe	2814339	Phragmipedium longifolium (Warsz. & Rchb.f.) Rolfe	29	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Orchidaceae	7689	Phragmipedium	2814272	Phragmipedium longifolium	2814339	LC
2785804	Arpophyllum giganteum Hartw. ex Lindl.	2785804	Arpophyllum giganteum Hartw. ex Lindl.	36	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Orchidaceae	7689	Arpophyllum	8211139	Arpophyllum giganteum	2785804	NE
7227800	Arpophyllum giganteum subsp. giganteum	7227800	Arpophyllum giganteum subsp. giganteum	25	SUBSPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Orchidaceae	7689	Arpophyllum	8211139	Arpophyllum giganteum	2785804	
2790555	Trichopilia suavis Lindl. & Paxton	2790555	Trichopilia suavis Lindl. & Paxton	29	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Orchidaceae	7689	Trichopilia	2790529	Trichopilia suavis	2790555	NE
2848413	Reichantha tonduzii (Woolward) Luer	2848412	Masdevallia tonduzii Woolward	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Orchidaceae	7689	Masdevallia	2847989	Masdevallia tonduzii	2848412	NE
2850644	Notylia Lindl.	2850644	Notylia Lindl.	1	GENUS	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Orchidaceae	7689	Notylia	2850644			NE
