taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
7190918	Eretmochelys imbricata imbricata	7190918	Eretmochelys imbricata imbricata	1	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Reptilia	358	Testudines	793	Cheloniidae	9413	Eretmochelys	2442206	Eretmochelys imbricata	8841716	
8841716	Eretmochelys imbricata (Linnaeus, 1766)	8841716	Eretmochelys imbricata (Linnaeus, 1766)	65	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Reptilia	358	Testudines	793	Cheloniidae	9413	Eretmochelys	2442206	Eretmochelys imbricata	8841716	CR
2459576	Ctenosaura quinquecarinata (Gray, 1842)	2459576	Ctenosaura quinquecarinata (Gray, 1842)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Reptilia	358	Squamata	715	Iguanidae	6935	Ctenosaura	2459728	Ctenosaura quinquecarinata	2459576	DD
2453664	Geophis talamancae Lips & Savage, 1994	2453664	Geophis talamancae Lips & Savage, 1994	5	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Reptilia	358	Squamata	715	Colubridae	6172	Geophis	2457023	Geophis talamancae	2453664	EN
2453926	Trimetopon simile Dunn, 1930	2453926	Trimetopon simile Dunn, 1930	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Reptilia	358	Squamata	715	Colubridae	6172	Trimetopon	2453919	Trimetopon simile	2453926	EN
9789983	Dermochelys coriacea (Vandelli, 1761)	9789983	Dermochelys coriacea (Vandelli, 1761)	112	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Reptilia	358	Testudines	793	Dermochelyidae	5464	Dermochelys	2441865	Dermochelys coriacea	9789983	VU
2451344	Sceloporus squamosus Bocourt, 1874	2451344	Sceloporus squamosus Bocourt, 1874	18	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Reptilia	358	Squamata	715	Phrynosomatidae	5016	Sceloporus	2451143	Sceloporus squamosus	2451344	LC
6156745	Eretmochelys imbricata bissa (Rüppell, 1835)	6156745	Eretmochelys imbricata bissa (Rüppell, 1835)	5	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Reptilia	358	Testudines	793	Cheloniidae	9413	Eretmochelys	2442206	Eretmochelys imbricata	8841716	
2442225	Chelonia mydas (Linnaeus, 1758)	2442225	Chelonia mydas (Linnaeus, 1758)	275	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Reptilia	358	Testudines	793	Cheloniidae	9413	Chelonia	2441864	Chelonia mydas	2442225	EN
2445970	Phyllodactylus eduardofischeri Mertens, 1952	5959817	Phyllodactylus tuberculosus Wiegmann, 1834	3	SPECIES	SYNONYM	Animalia	1	Chordata	44	Reptilia	358	Squamata	715	Phyllodactylidae	5789853	Phyllodactylus	2446566	Phyllodactylus tuberculosus	5959817	NE
7190833	Phyllodactylus tuberculosus tuberculosus	7190833	Phyllodactylus tuberculosus tuberculosus	1	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Reptilia	358	Squamata	715	Phyllodactylidae	5789853	Phyllodactylus	2446566	Phyllodactylus tuberculosus	5959817	
5959817	Phyllodactylus tuberculosus Wiegmann, 1834	5959817	Phyllodactylus tuberculosus Wiegmann, 1834	61	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Reptilia	358	Squamata	715	Phyllodactylidae	5789853	Phyllodactylus	2446566	Phyllodactylus tuberculosus	5959817	LC
8894817	Caretta caretta (Linnaeus, 1758)	8894817	Caretta caretta (Linnaeus, 1758)	5	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Reptilia	358	Testudines	793	Cheloniidae	9413	Caretta	2442177	Caretta caretta	8894817	VU
