taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2430870	Eleutherodactylus cuaquero Savage, 1980	2430869	Craugastor cuaquero (Savage, 1980)	2	SPECIES	SYNONYM	Animalia	1	Chordata	44	Amphibia	131	Anura	952	Craugastoridae	6730	Craugastor	2426022	Craugastor cuaquero	2430869	DD
2428192	Agalychnis spurrelli Boulenger, 1913	2428192	Agalychnis spurrelli Boulenger, 1913	94	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Amphibia	131	Anura	952	Phyllomedusidae	4817115	Agalychnis	2428191	Agalychnis spurrelli	2428192	LC
2431335	Bolitoglossa diminuta Robinson, 1976	2431335	Bolitoglossa diminuta Robinson, 1976	8	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Amphibia	131	Caudata	953	Plethodontidae	6748	Bolitoglossa	2431243	Bolitoglossa diminuta	2431335	LC
5785242	Dendrobates granulifer (Taylor, 1958)	2429142	Oophaga granulifera (Taylor, 1958)	36	SPECIES	SYNONYM	Animalia	1	Chordata	44	Amphibia	131	Anura	952	Dendrobatidae	6732	Oophaga	2429134	Oophaga granulifera	2429142	VU
2428656	Ecnomiohyla miliaria (Cope, 1886)	2428656	Ecnomiohyla miliaria (Cope, 1886)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Amphibia	131	Anura	952	Hylidae	6735	Ecnomiohyla	2428647	Ecnomiohyla miliaria	2428656	LC
2430711	Craugastor gulosus (Cope, 1875)	2430711	Craugastor gulosus (Cope, 1875)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Amphibia	131	Anura	952	Craugastoridae	6730	Craugastor	2426022	Craugastor gulosus	2430711	CR
5218022	Dendrobates auratus (Girard, 1855)	5218022	Dendrobates auratus (Girard, 1855)	1382	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Amphibia	131	Anura	952	Dendrobatidae	6732	Dendrobates	2429066	Dendrobates auratus	5218022	LC
5218058	Dendrobates granuliferus Taylor, 1958	2429142	Oophaga granulifera (Taylor, 1958)	40	SPECIES	SYNONYM	Animalia	1	Chordata	44	Amphibia	131	Anura	952	Dendrobatidae	6732	Oophaga	2429134	Oophaga granulifera	2429142	VU
2428590	Phyllomedusa lemur Boulenger, 1882	10050363	Agalychnis lemur (Boulenger, 1882)	58	SPECIES	SYNONYM	Animalia	1	Chordata	44	Amphibia	131	Anura	952	Phyllomedusidae	4817115	Agalychnis	2428191	Agalychnis lemur	10050363	CR
2424031	Phyllobates Duméril & Bibron, 1841	2424031	Phyllobates Duméril & Bibron, 1841	13	GENUS	ACCEPTED	Animalia	1	Chordata	44	Amphibia	131	Anura	952	Dendrobatidae	6732	Phyllobates	2424031			NE
2431245	Bolitoglossa sombra Hanken, Wake & Savage, 2005	2431245	Bolitoglossa sombra Hanken, Wake & Savage, 2005	9	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Amphibia	131	Caudata	953	Plethodontidae	6748	Bolitoglossa	2431243	Bolitoglossa sombra	2431245	NT
2430869	Craugastor cuaquero (Savage, 1980)	2430869	Craugastor cuaquero (Savage, 1980)	5	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Amphibia	131	Anura	952	Craugastoridae	6730	Craugastor	2426022	Craugastor cuaquero	2430869	DD
5785247	Phyllobates beatriciae Barbour & Dunn, 1921	5218017	Phyllobates lugubris (Schmidt, 1857)	1	SPECIES	SYNONYM	Animalia	1	Chordata	44	Amphibia	131	Anura	952	Dendrobatidae	6732	Phyllobates	2424031	Phyllobates lugubris	5218017	LC
2429142	Oophaga granulifera (Taylor, 1958)	2429142	Oophaga granulifera (Taylor, 1958)	145	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Amphibia	131	Anura	952	Dendrobatidae	6732	Oophaga	2429134	Oophaga granulifera	2429142	VU
2431738	Nototriton guanacaste Good & Wake, 1993	2431738	Nototriton guanacaste Good & Wake, 1993	18	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Amphibia	131	Caudata	953	Plethodontidae	6748	Nototriton	2431725	Nototriton guanacaste	2431738	LC
2424014	Diasporus tigrillo (Savage, 1997)	2424014	Diasporus tigrillo (Savage, 1997)	5	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Amphibia	131	Anura	952	Eleutherodactylidae	3082	Diasporus	2424007	Diasporus tigrillo	2424014	NT
2431620	Oedipina collaris (Stejneger, 1907)	2431620	Oedipina collaris (Stejneger, 1907)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Amphibia	131	Caudata	953	Plethodontidae	6748	Oedipina	2431613	Oedipina collaris	2431620	DD
5217997	Hylomantis lemur (Boulenger, 1882)	10050363	Agalychnis lemur (Boulenger, 1882)	111	SPECIES	SYNONYM	Animalia	1	Chordata	44	Amphibia	131	Anura	952	Phyllomedusidae	4817115	Agalychnis	2428191	Agalychnis lemur	10050363	CR
9057979	Bolitoglossa subpalmata torresi (Taylor, 1952)	2431298	Bolitoglossa pesrubra (Taylor, 1952)	147	SUBSPECIES	SYNONYM	Animalia	1	Chordata	44	Amphibia	131	Caudata	953	Plethodontidae	6748	Bolitoglossa	2431243	Bolitoglossa pesrubra	2431298	
10746665	Incilius chompipe (Vaughan & Mendelson, 2007)	10746665	Incilius chompipe (Vaughan & Mendelson, 2007)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Amphibia	131	Anura	952	Bufonidae	6727	Incilius	2422364	Incilius chompipe	10746665	EN
2428196	Agalychnis moreletii (Duméril, 1853)	2428196	Agalychnis moreletii (Duméril, 1853)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Amphibia	131	Anura	952	Phyllomedusidae	4817115	Agalychnis	2428191	Agalychnis moreletii	2428196	LC
2430700	Eleutherodactylus rayo Savage & DeWeese, 1979	2430699	Craugastor rayo (Savage & DeWeese, 1979)	12	SPECIES	SYNONYM	Animalia	1	Chordata	44	Amphibia	131	Anura	952	Craugastoridae	6730	Craugastor	2426022	Craugastor rayo	2430699	EN
2428195	Agalychnis annae (Duellman, 1963)	2428195	Agalychnis annae (Duellman, 1963)	273	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Amphibia	131	Anura	952	Phyllomedusidae	4817115	Agalychnis	2428191	Agalychnis annae	2428195	VU
2428191	Agalychnis Cope, 1864	2428191	Agalychnis Cope, 1864	22	GENUS	ACCEPTED	Animalia	1	Chordata	44	Amphibia	131	Anura	952	Phyllomedusidae	4817115	Agalychnis	2428191			NE
5218018	Phyllobates vittatus (Cope, 1893)	5218018	Phyllobates vittatus (Cope, 1893)	222	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Amphibia	131	Anura	952	Dendrobatidae	6732	Phyllobates	2424031	Phyllobates vittatus	5218018	VU
10050363	Agalychnis lemur (Boulenger, 1882)	10050363	Agalychnis lemur (Boulenger, 1882)	17	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Amphibia	131	Anura	952	Phyllomedusidae	4817115	Agalychnis	2428191	Agalychnis lemur	10050363	CR
2427651	Duellmanohyla lythrodes (Savage, 1968)	2427651	Duellmanohyla lythrodes (Savage, 1968)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Amphibia	131	Anura	952	Hylidae	6735	Duellmanohyla	2427645	Duellmanohyla lythrodes	2427651	EN
2428194	Agalychnis saltator Taylor, 1955	2428194	Agalychnis saltator Taylor, 1955	138	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Amphibia	131	Anura	952	Phyllomedusidae	4817115	Agalychnis	2428191	Agalychnis saltator	2428194	LC
2431298	Bolitoglossa pesrubra (Taylor, 1952)	2431298	Bolitoglossa pesrubra (Taylor, 1952)	1207	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Amphibia	131	Caudata	953	Plethodontidae	6748	Bolitoglossa	2431243	Bolitoglossa pesrubra	2431298	LC
2428113	Hyla xanthosticta Duellman, 1968	2428112	Isthmohyla xanthosticta (Duellman, 1968)	1	SPECIES	SYNONYM	Animalia	1	Chordata	44	Amphibia	131	Anura	952	Hylidae	6735	Isthmohyla	2428088	Isthmohyla xanthosticta	2428112	DD
5218017	Phyllobates lugubris (Schmidt, 1857)	5218017	Phyllobates lugubris (Schmidt, 1857)	110	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Amphibia	131	Anura	952	Dendrobatidae	6732	Phyllobates	2424031	Phyllobates lugubris	5218017	LC
10965922	Agalychnis callidryas callidryas	2428197	Agalychnis callidryas (Cope, 1862)	3	SUBSPECIES	SYNONYM	Animalia	1	Chordata	44	Amphibia	131	Anura	952	Phyllomedusidae	4817115	Agalychnis	2428191	Agalychnis callidryas	2428197	LC
2428197	Agalychnis callidryas (Cope, 1862)	2428197	Agalychnis callidryas (Cope, 1862)	1786	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Amphibia	131	Anura	952	Phyllomedusidae	4817115	Agalychnis	2428191	Agalychnis callidryas	2428197	LC
