taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
6893888	Tityus championi Pocock, 1898	6893888	Tityus championi Pocock, 1898	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Scorpiones	872	Buthidae	5848	Tityus	2123713	Tityus championi	6893888	NE
10269565	BOLD:ACB9856	10269565	BOLD:ACB9856	3	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Scorpiones	872	Chactidae	2152	Chactas	4656377	Chactas exsul	6892608	
10396841	BOLD:ACB9920	10396841	BOLD:ACB9920	3	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Scorpiones	872	Buthidae	5848	Centruroides	3253199	Centruroides limbatus	6894192	
6893813	Tityus dedoslargos Francke & Stockwell, 1987	6893813	Tityus dedoslargos Francke & Stockwell, 1987	21	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Scorpiones	872	Buthidae	5848	Tityus	2123713	Tityus dedoslargos	6893813	NE
6892608	Chactas exsul (Werner, 1939)	6892608	Chactas exsul (Werner, 1939)	6	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Scorpiones	872	Chactidae	2152	Chactas	4656377	Chactas exsul	6892608	NE
10001837	BOLD:ACB9874	10001837	BOLD:ACB9874	1	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Scorpiones	872	Buthidae	5848	Centruroides	3253199	Centruroides limbatus	6894192	
2154139	Sericopelma silvicola Valerio, 1980	2154139	Sericopelma silvicola Valerio, 1980	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Theraphosidae	5650	Sericopelma	2154136	Sericopelma silvicola	2154139	NE
6892722	Opisthacanthus valerioi Lourenço, 1980	6892722	Opisthacanthus valerioi Lourenço, 1980	12	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Scorpiones	872	Hormuridae	8228099	Opisthacanthus	4656289	Opisthacanthus valerioi	6892722	NE
6892912	Didymocentrus krausi Francke, 1978	6892912	Didymocentrus krausi Francke, 1978	56	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Scorpiones	872	Diplocentridae	3253186	Didymocentrus	3253187	Didymocentrus krausi	6892912	NE
10286405	BOLD:ACB9933	10286405	BOLD:ACB9933	2	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Scorpiones	872	Buthidae	5848	Centruroides	3253199	Centruroides limbatus	6894192	
2154041	Sphaerobothria hoffmanni Karsch, 1879	2154041	Sphaerobothria hoffmanni Karsch, 1879	32	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Theraphosidae	5650	Sphaerobothria	2154040	Sphaerobothria hoffmanni	2154041	NE
6893843	Tityus pachyurus Pocock, 1897	6893843	Tityus pachyurus Pocock, 1897	27	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Scorpiones	872	Buthidae	5848	Tityus	2123713	Tityus pachyurus	6893843	NE
10157374	BOLD:ACB9984	10157374	BOLD:ACB9984	2	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Scorpiones	872	Buthidae	5848	Centruroides	3253199	Centruroides bicolor	6894281	
10553437	BOLD:ACC1388	10553437	BOLD:ACC1388	1	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Scorpiones	872	Buthidae	5848	Centruroides	3253199	Centruroides bicolor	6894281	
10152336	BOLD:ACC0023	10152336	BOLD:ACC0023	1	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Scorpiones	872	Buthidae	5848	Centruroides	3253199	Centruroides limbatus	6894192	
10020384	BOLD:ACB9970	10020384	BOLD:ACB9970	1	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Scorpiones	872	Buthidae	5848	Tityus	2123713	Tityus ocelote	6893803	
2153632	Aphonopelma seemanni (F.O.Pickard-Cambridge, 1897)	2153632	Aphonopelma seemanni (F.O.Pickard-Cambridge, 1897)	37	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Theraphosidae	5650	Aphonopelma	2153559	Aphonopelma seemanni	2153632	NE
2153647	Aphonopelma crinirufum (Valerio, 1980)	2153647	Aphonopelma crinirufum (Valerio, 1980)	16	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Theraphosidae	5650	Aphonopelma	2153559	Aphonopelma crinirufum	2153647	NE
10135402	BOLD:ACB9770	10135402	BOLD:ACB9770	2	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Scorpiones	872	Buthidae	5848	Centruroides	3253199	Centruroides limbatus	6894192	
10174314	BOLD:ACC0021	10174314	BOLD:ACC0021	1	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Scorpiones	872	Buthidae	5848	Tityus	2123713	Tityus cerroazul	6893817	
2154146	Sericopelma immensum Valerio, 1980	2154146	Sericopelma immensum Valerio, 1980	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Theraphosidae	5650	Sericopelma	2154136	Sericopelma immensum	2154146	NE
6894281	Centruroides bicolor (Pocock, 1898)	6894281	Centruroides bicolor (Pocock, 1898)	101	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Scorpiones	872	Buthidae	5848	Centruroides	3253199	Centruroides bicolor	6894281	NE
10572302	BOLD:ACC3504	10572302	BOLD:ACC3504	1	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Theraphosidae	5650	Davus	4663417	Davus fasciatus	7697789	
9869903	BOLD:ACB9932	9869903	BOLD:ACB9932	1	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Scorpiones	872	Buthidae	5848	Tityus	2123713	Tityus dedoslargos	6893813	
10023735	BOLD:ACB9816	10023735	BOLD:ACB9816	3	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Scorpiones	872	Buthidae	5848	Tityus	2123713	Tityus ocelote	6893803	
2153442	Brachypelma albopilosum Valerio, 1980	2153442	Brachypelma albopilosum Valerio, 1980	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Theraphosidae	5650	Brachypelma	2153423	Brachypelma albopilosum	2153442	LC
10264334	BOLD:ACB9995	10264334	BOLD:ACB9995	2	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Scorpiones	872	Buthidae	5848	Tityus	2123713	Tityus ocelote	6893803	
2153842	Metriopelma drymusetes Valerio, 1982	7697789	Davus fasciatus O.Pickard-Cambridge, 1892	3	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Theraphosidae	5650	Davus	4663417	Davus fasciatus	7697789	NE
10357673	BOLD:ACB9829	10357673	BOLD:ACB9829	4	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Scorpiones	872	Buthidae	5848	Tityus	2123713			
7697789	Davus fasciatus O.Pickard-Cambridge, 1892	7697789	Davus fasciatus O.Pickard-Cambridge, 1892	9	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Theraphosidae	5650	Davus	4663417	Davus fasciatus	7697789	NE
2153930	Megaphobema peterklaasi Schmidt, 1994	2153930	Megaphobema peterklaasi Schmidt, 1994	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Theraphosidae	5650	Megaphobema	2153928	Megaphobema peterklaasi	2153930	NE
5170432	Cyclosternum fasciatum (O.Pickard-Cambridge, 1892)	7697789	Davus fasciatus O.Pickard-Cambridge, 1892	2	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Theraphosidae	5650	Davus	4663417	Davus fasciatus	7697789	NE
2123713	Tityus C.L.Koch, 1836	2123713	Tityus C.L.Koch, 1836	19	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Scorpiones	872	Buthidae	5848	Tityus	2123713			
2154147	Sericopelma melanotarsum Valerio, 1980	2154147	Sericopelma melanotarsum Valerio, 1980	5	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Theraphosidae	5650	Sericopelma	2154136	Sericopelma melanotarsum	2154147	NE
2153433	Brachypelma fossorium Valerio, 1980	2153433	Brachypelma fossorium Valerio, 1980	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Theraphosidae	5650	Brachypelma	2153423	Brachypelma fossorium	2153433	LC
