taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
6094182	Calocitta formosa azurea Nelson, 1897	6094182	Calocitta formosa azurea Nelson, 1897	1	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Corvidae	5235	Calocitta	2482457	Calocitta formosa	2482458	
10936638	Cyanocorax formosus (Swainson, 1827)	2482458	Calocitta formosa (Swainson, 1827)	51	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Corvidae	5235	Calocitta	2482457	Calocitta formosa	2482458	LC
2478098	Melanerpes chrysauchen Salvin, 1870	2478098	Melanerpes chrysauchen Salvin, 1870	12315	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Piciformes	724	Picidae	9333	Melanerpes	2478067	Melanerpes chrysauchen	2478098	LC
2487436	Vireo pallens Salvin, 1863	2487436	Vireo pallens Salvin, 1863	2539	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Vireonidae	9358	Vireo	2487406	Vireo pallens	2487436	LC
2480320	Charadrius vociferus Linnaeus, 1758	2480320	Charadrius vociferus Linnaeus, 1758	3532	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Charadriidae	2480210	Charadrius	2480277	Charadrius vociferus	2480320	LC
6179645	Patagioenas fasciata crissalis (Salvadori, 1893)	6179645	Patagioenas fasciata crissalis (Salvadori, 1893)	20	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Columbiformes	1446	Columbidae	5233	Patagioenas	2495265	Patagioenas fasciata	2495266	
2487997	Euphonia imitans (Hellmayr, 1936)	2487997	Euphonia imitans (Hellmayr, 1936)	13588	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Fringillidae	5242	Euphonia	2487948	Euphonia imitans	2487997	LC
6177768	Trogon aurantiiventris underwoodi Bangs, 1908	6177768	Trogon aurantiiventris underwoodi Bangs, 1908	10	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Trogoniformes	1449	Trogonidae	9356	Trogon	2496633	Trogon aurantiiventris	2496655	
10708159	Cairina moschata var. domestica	10708159	Cairina moschata var. domestica	90	VARIETY	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Anseriformes	1108	Anatidae	2986	Cairina	2498282	Cairina moschata	9751099	
2475098	Notharchus tectus (Boddaert, 1783)	2475098	Notharchus tectus (Boddaert, 1783)	2643	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Piciformes	724	Bucconidae	5703	Notharchus	2475095	Notharchus tectus	2475098	LC
5788513	Spizaetus melanoleucus (Vieillot, 1816)	5788513	Spizaetus melanoleucus (Vieillot, 1816)	177	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Accipitriformes	7191147	Accipitridae	2877	Spizaetus	2480669	Spizaetus melanoleucus	5788513	LC
2482168	Crax rubra Linnaeus, 1758	2482168	Crax rubra Linnaeus, 1758	21681	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Galliformes	723	Cracidae	5237	Crax	2482167	Crax rubra	2482168	VU
6094177	Calocitta formosa pompata Bangs, 1914	6094177	Calocitta formosa pompata Bangs, 1914	49	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Corvidae	5235	Calocitta	2482457	Calocitta formosa	2482458	
2482458	Calocitta formosa (Swainson, 1827)	2482458	Calocitta formosa (Swainson, 1827)	26046	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Corvidae	5235	Calocitta	2482457	Calocitta formosa	2482458	LC
2480128	Touit costaricensis (Cory, 1913)	2480128	Touit costaricensis (Cory, 1913)	910	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Psittaciformes	1445	Psittacidae	9340	Touit	2480121	Touit costaricensis	2480128	NT
