taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
9688720	Colpophyllia amaranthus (O.F.Müller, 1775)	9688720	Colpophyllia amaranthus (O.F.Müller, 1775)	3	SPECIES	ACCEPTED	Animalia	1	Cnidaria	43	Anthozoa	206	Scleractinia	714	Faviidae	3968	Colpophyllia	2260041	Colpophyllia amaranthus	9688720	NE
2258938	Anomocora carinata Cairns, 1991	2258938	Anomocora carinata Cairns, 1991	8	SPECIES	ACCEPTED	Animalia	1	Cnidaria	43	Anthozoa	206	Scleractinia	714	Caryophylliidae	11260974	Anomocora	2258932	Anomocora carinata	2258938	NE
7638104	Madrepora rus Forskål, 1775	5184764	Porites rus (Forskål, 1775)	1	SPECIES	SYNONYM	Animalia	1	Cnidaria	43	Anthozoa	206	Scleractinia	714	Poritidae	9241	Porites	3250147	Porites rus	5184764	NE
3968	Faviidae	3968	Faviidae	1	FAMILY	ACCEPTED	Animalia	1	Cnidaria	43	Anthozoa	206	Scleractinia	714	Faviidae	3968					NE
5184461	Desmophyllum dianthus (Esper, 1794)	5184461	Desmophyllum dianthus (Esper, 1794)	6	SPECIES	ACCEPTED	Animalia	1	Cnidaria	43	Anthozoa	206	Scleractinia	714	Caryophylliidae	11260974	Desmophyllum	11358493	Desmophyllum dianthus	5184461	NE
5184785	Porites astreoides Lamarck, 1816	5184785	Porites astreoides Lamarck, 1816	130	SPECIES	ACCEPTED	Animalia	1	Cnidaria	43	Anthozoa	206	Scleractinia	714	Poritidae	9241	Porites	3250147	Porites astreoides	5184785	LC
4944932	Euphyllia donatoi Aguilar & Denyer, 2001	4944932	Euphyllia donatoi Aguilar & Denyer, 2001	1	SPECIES	ACCEPTED	Animalia	1	Cnidaria	43	Anthozoa	206	Scleractinia	714	Euphylliidae	7526997	Euphyllia	2259282	Euphyllia donatoi	4944932	NE
5711906	Leptoseris cucullata (Ellis & Solander, 1786)	2260491	Helioseris cucullata (Ellis & Solander, 1786)	41	SPECIES	SYNONYM	Animalia	1	Cnidaria	43	Anthozoa	206	Scleractinia	714	Agariciidae	3932	Helioseris	2260490	Helioseris cucullata	2260491	LC
5931454	Porites baracoaensis Vaughan, 1919	5931454	Porites baracoaensis Vaughan, 1919	59	SPECIES	ACCEPTED	Animalia	1	Cnidaria	43	Anthozoa	206	Scleractinia	714	Poritidae	9241	Porites	3250147	Porites baracoaensis	5931454	NE
4283583	Desmophyllum cristagalli Milne Edwards & Haime, 1848	5184461	Desmophyllum dianthus (Esper, 1794)	4	SPECIES	SYNONYM	Animalia	1	Cnidaria	43	Anthozoa	206	Scleractinia	714	Caryophylliidae	11260974	Desmophyllum	11358493	Desmophyllum dianthus	5184461	NE
2259679	Dendrophyllia californica Durham, 1947	2259679	Dendrophyllia californica Durham, 1947	4	SPECIES	ACCEPTED	Animalia	1	Cnidaria	43	Anthozoa	206	Scleractinia	714	Dendrophylliidae	8186	Dendrophyllia	2259675	Dendrophyllia californica	2259679	NE
714	Scleractinia	714	Scleractinia	10	ORDER	ACCEPTED	Animalia	1	Cnidaria	43	Anthozoa	206	Scleractinia	714							
7727995	Stylophora Schweigger, 1820	7727995	Stylophora Schweigger, 1820	2	GENUS	ACCEPTED	Animalia	1	Cnidaria	43	Anthozoa	206	Scleractinia	714	Pocilloporidae	5174	Stylophora	7727995			NE
2260356	Mussa angulosa (Pallas, 1766)	2260356	Mussa angulosa (Pallas, 1766)	23	SPECIES	ACCEPTED	Animalia	1	Cnidaria	43	Anthozoa	206	Scleractinia	714	Faviidae	3968	Mussa	2260355	Mussa angulosa	2260356	LC
2258925	Tethocyathus prahli Lattig & Cairns, 2000	2258925	Tethocyathus prahli Lattig & Cairns, 2000	2	SPECIES	ACCEPTED	Animalia	1	Cnidaria	43	Anthozoa	206	Scleractinia	714	Caryophylliidae	11260974	Tethocyathus	2258924	Tethocyathus prahli	2258925	NE
2259224	Lophelia pertusa (Linnaeus, 1758)	9783587	Desmophyllum pertusum (Linnaeus, 1758)	1	SPECIES	SYNONYM	Animalia	1	Cnidaria	43	Anthozoa	206	Scleractinia	714	Caryophylliidae	11260974	Desmophyllum	11358493	Desmophyllum pertusum	9783587	NE
2259156	Caryophyllia diomedeae Marenzeller, 1904	2259156	Caryophyllia diomedeae Marenzeller, 1904	13	SPECIES	ACCEPTED	Animalia	1	Cnidaria	43	Anthozoa	206	Scleractinia	714	Caryophylliidae	11260974	Caryophyllia	2259152	Caryophyllia diomedeae	2259156	NE
2259170	Caryophyllia perculta Cairns, 1991	2259170	Caryophyllia perculta Cairns, 1991	5	SPECIES	ACCEPTED	Animalia	1	Cnidaria	43	Anthozoa	206	Scleractinia	714	Caryophylliidae	11260974	Caryophyllia	2259152	Caryophyllia perculta	2259170	NE
2260050	Montastraea cavernosa (Linnaeus, 1767)	2260050	Montastraea cavernosa (Linnaeus, 1767)	77	SPECIES	ACCEPTED	Animalia	1	Cnidaria	43	Anthozoa	206	Scleractinia	714	Montastraeidae	8392047	Montastraea	11309102	Montastraea cavernosa	2260050	LC
3250272	Thysanus Duncan, 1863	3250272	Thysanus Duncan, 1863	11	GENUS	ACCEPTED	Animalia	1	Cnidaria	43	Anthozoa	206	Scleractinia	714	Faviidae	3968	Thysanus	3250272			
5174	Pocilloporidae	5174	Pocilloporidae	1	FAMILY	ACCEPTED	Animalia	1	Cnidaria	43	Anthozoa	206	Scleractinia	714	Pocilloporidae	5174					NE
2259444	Stephanocoenia intersepta (Lamarck, 1816)	2259444	Stephanocoenia intersepta (Lamarck, 1816)	39	SPECIES	DOUBTFUL	Animalia	1	Cnidaria	43	Anthozoa	206	Scleractinia	714	Astrocoeniidae	3939	Stephanocoenia	2259443	Stephanocoenia intersepta	2259444	NE
