taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
5787070	Mazama cerasina Hollister, 1914	7261373	Mazama temama (Kerr, 1792)	1	SPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Artiodactyla	731	Cervidae	5298	Mazama	2440920	Mazama temama	7261373	DD
4263039	Cuniculus paca (Linnaeus, 1766)	4263039	Cuniculus paca (Linnaeus, 1766)	29	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Cuniculidae	3240591	Cuniculus	3240592	Cuniculus paca	4263039	LC
4832212	Lonchophylla concava Goldman, 1914	4832212	Lonchophylla concava Goldman, 1914	11	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Chiroptera	734	Phyllostomidae	9366	Lonchophylla	2433223	Lonchophylla concava	4832212	LC
5706517	Cuniculus paca virgata (Bangs, 1902)	5706517	Cuniculus paca virgata (Bangs, 1902)	7	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Cuniculidae	3240591	Cuniculus	3240592	Cuniculus paca	4263039	
2439310	Oecomys trinitatis (J.A.Allen & Chapman, 1893)	2439310	Oecomys trinitatis (J.A.Allen & Chapman, 1893)	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Cricetidae	3240723	Oecomys	2439306	Oecomys trinitatis	2439310	LC
2434825	Spilogale angustifrons Howell, 1902	2434825	Spilogale angustifrons Howell, 1902	4	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Mephitidae	9679	Spilogale	2434820	Spilogale angustifrons	2434825	LC
4265371	Trinycteris nicefori (Sanborn, 1949)	4265371	Trinycteris nicefori (Sanborn, 1949)	3	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Chiroptera	734	Phyllostomidae	9366	Trinycteris	4265370	Trinycteris nicefori	4265371	LC
5218753	Chrotopterus auritus (Peters, 1856)	5218753	Chrotopterus auritus (Peters, 1856)	9	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Chiroptera	734	Phyllostomidae	9366	Chrotopterus	2433181	Chrotopterus auritus	5218753	LC
5218815	Procyon cancrivorus panamensis (Goldman, 1913)	5218815	Procyon cancrivorus panamensis (Goldman, 1913)	1	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Procyonidae	5311	Procyon	2433592	Procyon cancrivorus	9518324	
2433585	Bassaricyon gabbii J.A.Allen, 1876	2433585	Bassaricyon gabbii J.A.Allen, 1876	50	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Procyonidae	5311	Bassaricyon	2433581	Bassaricyon gabbii	2433585	LC
