taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
7281020	Mammillaria columbiana Salm-Dyck	7281020	Mammillaria columbiana Salm-Dyck	4	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Cactaceae	2519	Mammillaria	3084158	Mammillaria columbiana	7281020	LC
3598563	Cyathea delgadii Pohl ex Sternb.	3598563	Cyathea delgadii Pohl ex Sternb.	154	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Polypodiopsida	7228684	Cyatheales	7229402	Cyatheaceae	6624	Cyathea	2650273	Cyathea delgadii	3598563	NE
5621156	Epiphyllum grandilobum (F.A.C.Weber) Britton & Rose	5621156	Epiphyllum grandilobum (F.A.C.Weber) Britton & Rose	37	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Cactaceae	2519	Epiphyllum	3084180	Epiphyllum grandilobum	5621156	NT
7863861	Weberocereus tonduzii (F.A.C.Weber) G.D.Rowley	7863861	Weberocereus tonduzii (F.A.C.Weber) G.D.Rowley	22	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Cactaceae	2519	Weberocereus	7281443	Weberocereus tonduzii	7863861	VU
3598671	Cyathea patellaris Christ	5530349	Alsophila firma (Baker) D.S.Conant	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Polypodiopsida	7228684	Cyatheales	7229402	Cyatheaceae	6624	Alsophila	2650312	Alsophila firma	5530349	NE
3600519	Cyathea bicrenata Liebm.	3600519	Cyathea bicrenata Liebm.	75	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Polypodiopsida	7228684	Cyatheales	7229402	Cyatheaceae	6624	Cyathea	2650273	Cyathea bicrenata	3600519	NE
5620998	Epiphyllum phyllanthus var. pittieri (F.A.C.Weber) Kimnach	5621128	Epiphyllum hookeri subsp. pittieri (F.A.C.Weber) Ralf Bauer	17	VARIETY	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Cactaceae	2519	Epiphyllum	3084180	Epiphyllum hookeri	6379095	
2683200	Stangeria eriopus (Kunze) Baill.	2683200	Stangeria eriopus (Kunze) Baill.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Cycadopsida	228	Cycadales	834	Zamiaceae	5375	Stangeria	2683199	Stangeria eriopus	2683200	VU
7279936	Lepismium houlletianum (Lem.) Barthlott	7279936	Lepismium houlletianum (Lem.) Barthlott	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Cactaceae	2519	Lepismium	8049434	Lepismium houlletianum	7279936	LC
2683306	Zamia L.	2683306	Zamia L.	12	GENUS	ACCEPTED	Plantae	6	Tracheophyta	7707728	Cycadopsida	228	Cycadales	834	Zamiaceae	5375	Zamia	2683306			NE
5621023	Epiphyllum phyllanthus var. columbiense (F.A.C.Weber) Backeb.	5621135	Epiphyllum hookeri subsp. columbiense (F.A.C.Weber) Ralf Bauer	1	VARIETY	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Cactaceae	2519	Epiphyllum	3084180	Epiphyllum hookeri	6379095	
5384030	Epiphyllum phyllanthus (L.) Haw.	5384030	Epiphyllum phyllanthus (L.) Haw.	15	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Cactaceae	2519	Epiphyllum	3084180	Epiphyllum phyllanthus	5384030	LC
8192226	Opuntia lutea (Rose) D.R.Hunt	5621492	Opuntia auberi Pfeiff.	11	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Cactaceae	2519	Opuntia	3084187	Opuntia auberi	5621492	DD
