taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
6162967	Caiman crocodilus chiapasius (Bocourt, 1876)	6162967	Caiman crocodilus chiapasius (Bocourt, 1876)	48	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Reptilia	358	Crocodylia	704	Alligatoridae	3238603	Caiman	5220195	Caiman crocodilus	8953936	
9781220	Clelia clelia clelia	9781220	Clelia clelia clelia	3	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Reptilia	358	Squamata	715	Colubridae	6172	Clelia	2453883	Clelia clelia	8876700	
2441329	Crocodylus acutus (Cuvier, 1807)	2441329	Crocodylus acutus (Cuvier, 1807)	1491	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Reptilia	358	Crocodylia	704	Crocodylidae	5685	Crocodylus	2441321	Crocodylus acutus	2441329	VU
9081775	Constrictor constrictor (Linnaeus, 1758)	2464899	Boa constrictor Linnaeus, 1758	2	SPECIES	SYNONYM	Animalia	1	Chordata	44	Reptilia	358	Squamata	715	Boidae	2464897	Boa	2444141	Boa constrictor	2464899	NE
2464899	Boa constrictor Linnaeus, 1758	2464899	Boa constrictor Linnaeus, 1758	131	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Reptilia	358	Squamata	715	Boidae	2464897	Boa	2444141	Boa constrictor	2464899	LC
7190534	Boa constrictor constrictor	7190534	Boa constrictor constrictor	2	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Reptilia	358	Squamata	715	Boidae	2464897	Boa	2444141	Boa constrictor	2464899	
2443680	Rhinoclemmys pulcherrima (Gray, 1855)	2443680	Rhinoclemmys pulcherrima (Gray, 1855)	60	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Reptilia	358	Testudines	793	Geoemydidae	5463	Rhinoclemmys	2443624	Rhinoclemmys pulcherrima	2443680	NE
8953936	Caiman crocodilus (Linnaeus, 1758)	8953936	Caiman crocodilus (Linnaeus, 1758)	800	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Reptilia	358	Crocodylia	704	Alligatoridae	3238603	Caiman	5220195	Caiman crocodilus	8953936	LC
2442153	Lepidochelys olivacea (Eschscholtz, 1829)	2442153	Lepidochelys olivacea (Eschscholtz, 1829)	1314	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Reptilia	358	Testudines	793	Cheloniidae	9413	Lepidochelys	2442152	Lepidochelys olivacea	2442153	VU
2467538	Anolis carpenteri Echelle, Echelle & Fitch, 1971	2467538	Anolis carpenteri Echelle, Echelle & Fitch, 1971	42	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Reptilia	358	Squamata	715	Dactyloidae	8345926	Anolis	8782549	Anolis carpenteri	2467538	LC
5223270	Urotheca fulviceps (Cope, 1886)	5223270	Urotheca fulviceps (Cope, 1886)	3	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Reptilia	358	Squamata	715	Colubridae	6172	Urotheca	2454043	Urotheca fulviceps	5223270	LC
2464957	Corallus annulatus (Cope, 1875)	2464957	Corallus annulatus (Cope, 1875)	36	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Reptilia	358	Squamata	715	Boidae	2464897	Corallus	2464939	Corallus annulatus	2464957	LC
2458246	Sibon lamari Solorzano, 2001	2458246	Sibon lamari Solorzano, 2001	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Reptilia	358	Squamata	715	Colubridae	6172	Sibon	2458225	Sibon lamari	2458246	EN
6157078	Rhinoclemmys pulcherrima manni (Dunn, 1930)	6157078	Rhinoclemmys pulcherrima manni (Dunn, 1930)	14	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Reptilia	358	Testudines	793	Geoemydidae	5463	Rhinoclemmys	2443624	Rhinoclemmys pulcherrima	2443680	
8876700	Clelia clelia (Daudin, 1803)	8876700	Clelia clelia (Daudin, 1803)	46	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Reptilia	358	Squamata	715	Colubridae	6172	Clelia	2453883	Clelia clelia	8876700	LC
5221064	Lachesis melanocephala Solórzano & Cerdas, 1986	5221064	Lachesis melanocephala Solórzano & Cerdas, 1986	7	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Reptilia	358	Squamata	715	Viperidae	5024	Lachesis	2444916	Lachesis melanocephala	5221064	VU
7797312	Dendrophidion rufiterminorum Cadle & Savage, 2012	7797312	Dendrophidion rufiterminorum Cadle & Savage, 2012	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Reptilia	358	Squamata	715	Colubridae	6172	Dendrophidion	2452593	Dendrophidion rufiterminorum	7797312	NE
6162966	Caiman crocodilus fuscus (Cope, 1868)	6162966	Caiman crocodilus fuscus (Cope, 1868)	124	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Reptilia	358	Crocodylia	704	Alligatoridae	3238603	Caiman	5220195	Caiman crocodilus	8953936	
